"Finished","Q1","Q2","Q3","Q4","Q5","autonomy_level","employer_support_score","university_support_score","self_directed_learning_score","skill_application_score","learning_integration_score","high_self_directed","high_skill_application","high_learning_integration","dataset","counterbalanced"
"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uws_current","FALSE"
"True","18-24","Male","University of Glasgow","BSc Software Engineering","Year 1",1,1,1,1,1,1,0,0,0,"uws_current","FALSE"
"True","35-44","Female","University of the West of Scotland","BA (Hons) Business Management","Year 1",1,1,1.6,1.8,1.6,1.4,0,0,0,"uws_current","FALSE"
"True","45-54","Female","University of the West of Scotland","BA (Hons) Business Management","Year 3",1,2.6,2.8,3.2,1,2,0,0,0,"uws_current","FALSE"
"True","18-24","Female","University of the West of Scotland","BA (Hons) Business Management and Project Management","Year 1",2.6,3.8,5,5,3,2.4,1,0,0,"uws_current","FALSE"
"True","35-44","Female","University of the West of Scotland","BA (Hons) Business Management","Year 2",1.2,2,1.4,4.4,3.2,2.8,1,0,0,"uws_current","FALSE"
"True","45-54","Female","University of the West of Scotland","BA (Hons) Business Management and Project Management","Year 1",1.6,1.4,1.4,2.4,1.2,1.2,0,0,0,"uws_current","FALSE"
"True","25-34","Female","University of the West of Scotland","BA (Hons) Business Management","Year 1",2.6,2.2,1.8,2.2,2.6,2.8,0,0,0,"uws_current","FALSE"
"True","25-34","Female","University of the West of Scotland","BA (Hons) Business Management and Project Management","Year 1",2.8,2.2,1.4,1.4,3.4,2.4,0,0,0,"uws_current","FALSE"
"True","45-54","Male","University of the West of Scotland","BA (Hons) Business Management","Year 3",1.8,2.4,2.6,4,2.4,2.4,1,0,0,"uws_current","FALSE"
"TRUE","25-34","Male","University of the West of Scotland","BA Business Management","2023",2.4,1.8,3.8,3.8,3.8,3.4,0,0,0,"uws_alumni","FALSE"
"TRUE","45-54","Female","University of the West of Scotland","BA Business Management","2024",1,1,4.4,4.4,4.6,4.8,1,1,1,"uws_alumni","FALSE"
"TRUE","35-44","Female","University of the West of Scotland","BA Business Management","2023",5,4.8,3.6,3,4.6,2,0,1,0,"uws_alumni","FALSE"
"TRUE","25-34","Female","University of the West of Scotland","BA Business Management","2024",1.2,1,1.6,1.6,2.6,2.4,0,0,0,"uws_alumni","FALSE"
"TRUE","45-54","Female","University of the West of Scotland","BA Business Management","2024",2,1,4.4,5,5,5,1,1,1,"uws_alumni","FALSE"
"TRUE","45-54","Female","University of the West of Scotland","BA Business Management","2023",2.2,2,5,5,5,5,1,1,1,"uws_alumni","FALSE"
"TRUE","45-54","Male","University of the West of Scotland","BA Business Management","2022",2.6,4.4,4,4,4.2,4.6,1,1,1,"uws_alumni","FALSE"
"TRUE","25-34","Female","University of the West of Scotland","BA Business Management","2024",3.6,5,5,4.6,5,4,1,1,1,"uws_alumni","FALSE"
"TRUE","25-34","Female","University of the West of Scotland","BA Business Management","2023",3.2,3,4.6,4.8,4.6,4.4,1,1,1,"uws_alumni","FALSE"
"TRUE","35-44","Male","University of the West of Scotland","BA Business Management","2023",4.2,3.6,4,4,4,4.2,1,1,1,"uws_alumni","FALSE"
"TRUE","35-44","Female","University of the West of Scotland","BA Business Management","2023",3.6,4,4.6,4.8,4.8,4.8,1,1,1,"uws_alumni","FALSE"
"TRUE","25-34","Female","University of Glasgow","Data Science","Year 2",3,3.6,3.9,3.2,3.7,3.5,0,0,0,"glasgow","TRUE"
"TRUE","18-24","Male","University of Glasgow","Computing Science","Year 1",4,3.9,4,3.8,4.1,3.7,0,1,0,"glasgow","TRUE"
"TRUE","35-44","Female","University of Glasgow","Business Management","Year 3",3,3.5,3.7,3.3,3.8,3.4,0,0,0,"glasgow","TRUE"
"TRUE","25-34","Male","University of Glasgow","Engineering","Year 2",2,3,3.5,2.7,3.2,3,0,0,0,"glasgow","TRUE"
"TRUE","45-54","Female","University of Glasgow","Business Analytics","Year 4",4,4.1,3.9,4,4.2,3.9,1,1,0,"glasgow","TRUE"
"TRUE","18-24","Male","University of Glasgow","Software Development","Year 1",3,3.4,3.8,3.1,3.6,3.3,0,0,0,"glasgow","TRUE"
"TRUE","25-34","Female","University of Glasgow","Data Analytics","Year 2",4,3.8,4.1,3.9,4,3.8,0,1,0,"glasgow","TRUE"
"TRUE","35-44","Male","University of Glasgow","Project Management","Year 3",5,4.2,4,4.3,4.5,4.2,1,1,1,"glasgow","TRUE"
"TRUE","25-34","Female","University of Glasgow","Information Systems","Year 2",2,3.1,3.6,2.8,3.3,3,0,0,0,"glasgow","TRUE"
"TRUE","18-24","Male","University of Glasgow","Cyber Security","Year 1",1,2.5,3.2,2.3,2.7,2.4,0,0,0,"glasgow","TRUE"
