StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Informed consent,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q7_5_TEXT,Q8,Q8_1_TEXT,Q9,Q9_1_TEXT,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q18_1...67,Q18_2...68,Q18_3...69,Q18_4...70,Q18_5...71,Q18_1...72,Q18_2...73,Q18_3...74,Q18_4...75,Q18_5...76,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q22_1,Q22_2,Q22_3,autonomy_level,employer_support_score,university_support_score,self_directed_learning_score,skill_application_score,learning_integration_score,high_self_directed,high_skill_application,high_learning_integration,knowledge_sharing,process_improvement,technology_adoption,team_development,cross_functional_collaboration,dataset,counterbalanced
28/11/2024 11:05,28/11/2024 11:15,IP Address,148.252.141.43,100,564,TRUE,28/11/2024 11:15,R_8VdSVbPb6uryEJH,NA,NA,NA,NA,51.4964,-0.1224,anonymous,EN,I consent,25-34,Male,University of the West of Scotland,BA Business Management,2023,Honours Degree,Full-time employed,NA,Answer,Technical Project Manager,Answer,Lighting,Yes,4,1,3,1,3,3,4,3,5,4,4,4,3,4,4,3,4,4,3,3,4,4,4,3,4,1,2,2,3,2,1,2,1,2,3,4,4,3,4,2,3,4,3,3,4,4,4,4,3,3,4,3,3,2,4,Executing long-term projects based in research,Knowledge in how to leverage better employment terms/opportunities would be beneficial.,"Many small employers are more concerned about time lost to learning, rather than skills gained.  Employers should be encouraged to commit downtime hours to allow learners to pursue their learning objectives in the workplace.",2.4,1.8,3.8,3.8,3.8,3.4,0,0,0,80,60,60,40,80,uws_alumni,FALSE
28/11/2024 11:16,28/11/2024 11:23,IP Address,146.75.174.13,100,474,TRUE,28/11/2024 11:23,R_8OJRsgB9ZtdNMSk,NA,NA,NA,NA,51.4964,-0.1224,anonymous,EN,I consent,45-54,Female,University of the West of Scotland,BA Business Management,2024,Ordinary Degree,Full-time employed,NA,Answer,Media and relations manager,Answer,Local government,Yes,1,1,1,1,1,4,4,4,5,5,4,5,5,5,3,4,5,5,5,5,5,4,5,4,5,1,1,1,1,1,1,1,1,1,1,4,5,5,5,4,4,4,5,3,5,5,5,5,5,5,3,4,5,4,5,Tutor support,Have guest talks from industry bodies,Clearly outlining workplace mentor expectations,1,1,4.4,4.4,4.6,4.8,1,1,1,60,80,100,80,100,uws_alumni,FALSE
28/11/2024 11:21,28/11/2024 11:33,IP Address,194.9.109.114,100,736,TRUE,28/11/2024 11:33,R_2b2ht46gGL6E5CU,NA,NA,NA,NA,53.481,-2.2367,anonymous,EN,I consent,35-44,Female,University of the West of Scotland,BA Business Management,2023,Honours Degree,Full-time employed,NA,Answer,Global Custom Device Manager,Answer,Medical Devices,Yes,5,5,5,5,5,3,4,4,3,4,2,3,3,3,4,1,3,2,3,1,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,3,5,3,3,5,5,3,3,5,5,3,3,4,5,5,5,5,5,5,Business In Acceleration Module,N/A,N/A,5,4.8,3.6,3,4.6,2,0,1,0,100,100,100,100,100,uws_alumni,FALSE
28/11/2024 11:28,28/11/2024 11:39,IP Address,62.252.193.214,100,639,TRUE,28/11/2024 11:39,R_2zkd5g8UmAXknss,NA,NA,NA,NA,55.5626,-4.5028,anonymous,EN,I consent,25-34,Female,University of the West of Scotland,BA Business Management,2024,Ordinary Degree,Full-time employed,NA,Answer,Project Manager,Answer,Healthcare,Yes,2,1,1,1,1,1,2,1,2,2,2,2,1,1,2,3,3,2,3,1,3,3,2,2,3,1,1,1,1,1,1,1,1,1,1,2,2,2,1,4,2,3,3,2,5,4,3,4,3,3,2,2,3,4,3,"The qualification allowed me to apply for a higher role in my same organisation.  I applied for it, and was successful, upon completion of the course.",'- NEED to communicate with workplaces and WPMs directly - Give course requirments (for WBL) out in advance of each academic year to ensure appropriate measures are in place - I wasn't allowed to do undergraduate research in my organisation (only allow PG) so perhaps an understanding or mutual conversation between R&D and the University would have been useful.,"Go meet the WPMs, go understand our workplaces, speak to our WPMs",1.2,1,1.6,1.6,2.6,2.4,0,0,0,40,40,60,80,60,uws_alumni,FALSE
28/11/2024 11:57,28/11/2024 12:04,IP Address,161.12.44.1,100,421,TRUE,28/11/2024 12:04,R_8eWAIvMBjxCjlCx,NA,NA,NA,NA,55.6534,-4.6941,anonymous,EN,I consent,45-54,Female,University of the West of Scotland,BA Business Management,2024,Honours Degree,Full-time employed,NA,Answer,"Business Growth manager, Economic Development",Answer,Public Sector,Yes,2,2,2,2,2,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,5,4,4,5,5,5,5,5,3,5,5,5,5,5,5,1,3,4,5,5,N/A,N/A,Clear information on the support expected from the employer as part of agreeing to the GA,2,1,4.4,5,5,5,1,1,1,20,60,80,100,100,uws_alumni,FALSE
28/11/2024 12:29,28/11/2024 12:38,IP Address,78.86.137.61,100,535,TRUE,28/11/2024 12:38,R_87UzAqUbqWxPXir,NA,NA,NA,NA,51.4964,-0.1224,anonymous,EN,I consent,45-54,Female,University of the West of Scotland,BA Business Management,2023,Ordinary Degree,Full-time employed,NA,Answer,Teacher,Answer,Public,Yes,3,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Started my career and a chance to believe in myself with excellent tutor support,I was able to progress to a PGDE the team where very supportive offering career advice and support at every opportunity,This is what lacks. My employer very much did not offer any time towards my study. This was solely undertaken at night and weekends. There was no recognition of my achievements and no opportunity for promotion.,2.2,2,5,5,5,5,1,1,1,100,100,100,100,100,uws_alumni,FALSE
28/11/2024 17:04,28/11/2024 17:18,IP Address,77.102.10.27,100,821,TRUE,28/11/2024 17:18,R_8KvdBJ5ykxdXVAt,NA,NA,NA,NA,55.806,-3.9417,anonymous,EN,I consent,45-54,Male,University of the West of Scotland,BA Business Management,2022,Honours Degree,Full-time employed,NA,Answer,Business Development Officer,Answer,Local Government Authority,Yes,3,3,3,2,2,4,4,4,4,4,4,4,4,4,4,4,5,4,5,5,4,4,4,4,5,4,4,3,3,3,4,5,5,4,4,4,5,3,4,4,4,4,3,3,5,3,4,4,4,4,4,5,4,5,5,Understanding data analysis - vital role for my current career.,Identifying dedicated workplace mentor or providing a university mentor - this was difficult to obtain through the workplace as we had to identify our own. The lack of support from the workplace and mentor made it difficult. Almost felt like I was doing this alone. Support world have been a valuable asset and resulted in fewer drop outs.,"Again, having a dedicated mentor or resource available to help would have helped. The workplace had fully committed but didn't understand the full requirements so no time was made available for work based learning. If the workplace cookies l commits, they should be fully onboard, not the parts that suit them.",2.6,4.4,4,4,4.2,4.6,1,1,1,80,100,80,100,100,uws_alumni,FALSE
28/11/2024 17:05,28/11/2024 17:19,IP Address,90.240.82.17,100,840,TRUE,28/11/2024 17:19,R_8Aqcj9ePPN645cR,NA,NA,NA,NA,55.3252,-4.6473,anonymous,EN,I consent,25-34,Female,University of the West of Scotland,BA Business Management,2024,Honours Degree,Full-time employed,NA,Answer,Manager,Answer,Engineering,Yes,4,5,3,3,3,5,5,5,5,5,5,4,4,5,5,3,4,5,4,4,5,5,5,5,5,4,4,3,5,4,5,5,5,5,5,5,4,5,4,3,5,5,5,3,5,5,5,5,5,5,5,5,3,5,5,Application of leadership styles and techniques,Perhaps focus on the learning curve/ confidence dip when undertaking a new role,Ensure balance of work place activities and requirements during critical path activities,3.6,5,5,4.6,5,4,1,1,1,100,100,60,100,100,uws_alumni,FALSE
28/11/2024 18:53,28/11/2024 19:15,IP Address,172.226.114.16,100,1333,TRUE,28/11/2024 19:15,R_2G09NK0poALkmVr,NA,NA,NA,NA,51.5074,-0.1196,anonymous,EN,I consent,25-34,Female,University of the West of Scotland,BA Business Management,2023,Honours Degree,Full-time employed,NA,Answer,Team Leader - Planning and Performance,Answer,Local Authority,Yes,3,3,5,1,4,4,4,5,5,5,5,5,4,5,5,5,5,5,4,3,5,5,5,3,5,4,4,4,4,4,4,4,3,2,2,5,5,5,5,5,5,5,3,4,5,5,5,5,5,5,5,4,4,4,4,Confidence,n/a,"More workplace mentor and link tutor interactions, inductions for workplace mentor so they actually understand the university requirements.",3.2,3,4.6,4.8,4.6,4.4,1,1,1,100,80,80,80,80,uws_alumni,FALSE
02/12/2024 12:56,02/12/2024 13:05,IP Address,94.6.236.252,100,594,TRUE,02/12/2024 13:05,R_8JJbcYUpKyd9KaB,NA,NA,NA,NA,55.7087,-4.5393,anonymous,EN,I consent,35-44,Male,University of the West of Scotland,BA Business Management,2023,Honours Degree,Full-time employed,NA,Answer,Director of Digital Infrastructure,Answer,Education,Yes,4,5,3,4,5,3,4,3,5,5,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,5,4,5,4,4,3,3,4,4,4,3,4,4,4,5,5,4,4,4,5,3,4,4,4,4,3,4,4,4,4,"Leadership theory and language. Structuring papers and being more succinct. Support from the link tutors, help get me over the line, support was invaluable","More practical elements of learning within the classroom environment, its difficult in online sessions. More on campus days would also have helped but that might not be possible for either the university or employers","While i had great support from my employer speaking to fellow students they didnt all get that support, felt a bit like its free, make it work in your own time. I was fortunate i had great support from my employer",4.2,3.6,4,4,4,4.2,1,1,1,60,80,80,80,80,uws_alumni,FALSE
04/12/2024 08:33,04/12/2024 08:42,IP Address,172.226.183.83,100,555,TRUE,04/12/2024 08:42,R_8DvDJbkCpXjpje6,NA,NA,NA,NA,53.481,-2.2367,anonymous,EN,I consent,35-44,Female,University of the West of Scotland,BA Business Management,2023,Honours Degree,Full-time employed,NA,Answer,Service Improvement and Development Officer,Answer,Local Council,Yes,3,4,4,3,4,4,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,4,5,5,3,3,3,3,3,3,4,5,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,"Leadership and development, organisational change, skills development, confidence, academic understanding, digital knowledge and skills, building a professional network,","Access to a careers advisor, have a day at end of 3rd and 4th year",Employers need to be more active in the GA programme,3.6,4,4.6,4.8,4.8,4.8,1,1,1,80,100,80,100,100,uws_alumni,FALSE
